speaker,sentence,emotion,annotation
Joey,"Hey Estelle, listen",0,5000000
Ross,Yes? Yes?! How can I help you?,0,3000011
Guy,"Yeah, we werewe were just looking around.",0,5000000
Ross,You had no right to tell me you ever had feelings for me.,4,0010400
Rachel,What?,5,0000050
Ross,I was doing great with Julie before I found out about you.,4,0010400
Phoebe,"Oh, it's so romantic to send people off on their honeymoon.",1,0500000
Joey,"Yknow, Monica and Chandler are married. Ross and Rachel are having a baby. Maybe you and I should do something.",0,4010000
Phoebe,All in good time my love.,0,4100000
Phoebe,All in good time.,0,4100000
Monica,Hey! What did you decide to do about the movie?,0,5000000
Joey,I dont know!,0,4001000
Joey,Its not like its porn!,0,3000002
Joey,"This is a serious, legitimate movie.",0,5000000
Joey,Yknow?,0,4001000
Joey,"Hey, whats up?",0,5000000
Chandler,"Nothing, Monica and I had a stupid fight.",2,0040100
Joey,"But youre still moving in together, right? Because my ad came out today.",0,3001010
Chandler,"""Wanted. Female roommate, non-smoker, non-ugly."" Nice!",1,2300000
Joey,Yeah?,0,4000010
Joey,"I just figured yknow, after living with you itd be an interesting change of pace to have a female roommate, yknow?",0,4100000
Ross,So where are we going next?,0,5000000
Gary,This witness won't return my calls so we're gonna see if we can surprise him coming home.,0,4000001
Chandler,"Sur-surprise him? We're not, we're not gonna make anybody mad are we?",3,0004010
Joey,"Come on man!  Listen so uh, are you gonna squeeze the perps shoes a little bit before he lawyers up?",7,2101001
Gary,It's a witness not a perp. And no one talks like that!,7,2000102
Ross,"Yeah, no one talks like that!",7,2000012
Joey,Oh what? Like your Mr. Cop!,4,1000301
Monica,"Well, youre-youre sweating.",0,5000000
Ross,These-these are beads of joy.,1,2300000
Monica,Oh thats sweet. Dont touch me.,6,2000003
Ross,"Uh Phoebe, can I see you for a second?",0,5000000
Phoebe,Yeah!,0,3200000
Phoebe,Whats going on?,0,4001000
Ross,Chandlers gone again!,5,0101030
Phoebe,Oh my God! Why would you play hide and seek with someone you know is a flight risk?!,7,0101120
Dr. Harad,Okay. You ready to push again?,0,4001000
Phoebe,I already had a baby. Leave me alone.,4,0010400
Frank,"Okay, okay, come on, you can do it. You can do it!",1,1400000
Frank,Yeah!!,1,0500000
Frank,Little Leslie is here!,1,1400000
Frank,We got another one!,5,0200030
Frank,"Oh my God, I can't believe I have two-two children.",5,0100040
Frank,How scary is that?,5,0002030
Frank,"Come on little Chandler, it's time to be born. Come on little Chandler! Come on!",1,0500000
Bob,Hey Toby!,1,1400000
Chandler,Hey Bobby.,0,4001000
Bob,"Its Bob actually. Hey, you work up here, can you tell me where this Chandler",0,3000101
Chandler,"Uhh yeah. Yeah, its  right, right down there.  Right there, yeah. Can I ask you why?",0,3001010
Bob,"I want to talk to that bastard, see what his problem is.",4,0000500
Chandler,"Okay Bob listen uhh, Im the reason you didnt get the job up here.",7,2002001
Bob,Toby dont.,7,2000201
Chandler,Bob!,7,1001120
Bob,Toby! Im not gonna let you cover for him. Anything you say right now will just get me more upset with Chandler!,4,0000410
Joey,Ohh!,5,1000040
Whitney,"Well, I went over to Kyles last night to pick up a few things and we got to reminiscing",0,3020000
Kyle,we talked through most of the night and we realized that the reason we were so angry at each other was because there are still feelings there. So,7,2120000
Ross,Oh just say it Kyle!,5,0100130
Kyle,Were gonna give it another try.,1,2300000
Phoebe,What about her whining and her constant need for attention?!,7,1000022
Whitney,Im gonna work on that.,0,3110000
Phoebe,"Oh right, because youre so capable of change.",7,1000202
Ross,"Yknow, he hums when he pees!",7,1200011
Whitney,I do know.,0,4000001
Ross,"It makes him miss the bowl, but whatever.",6,1000004
Whitney,Were so sorry.,2,0050000
Joey,Why isnt that valet back with my Porsche?,4,1001300
Passerby,Maybe because youve got the keys?,7,2000201
Joey,Porsche.,0,3101000
Rachel,This is totally your fault!,4,0000500
Ross,My fault?! You threatened the judge!,4,0000500
Rachel,"Well, you ripped the paper out of the court reporters machine!!",4,0000500
Ross,"Can we, can we just forget this ever happened?",7,2000102
