class_names,sentences
0, Do you meet your target this month?
-1," Yes, thanks God, I can meet the target. But I wonder with NAME. She never meets the target. "
-1, NAME?? She is still very young. I don't think that she can work here for a long time. 
0," Why? By the way, how old is she actually?"
-1," She is working, right? so she must be mature. She's already 24 years old. "
-1, But she is still childish. She is also often sensitive. 
-1, Age has nothing to do with maturity. She should realise that she works. 
-1, Perhaps she doesn't like the job. 
-1," If she doesn't like the job, she must find another job! "
0," She's trying to get another job, but mostly they offered small salary."
-1," Whatever the job, if she never does the job by heart, it won't be an enjoyable job.Â Working is not just about the money, is it? "
0, I agree with you.
0,What's the matter?
-1," I have a severe painful in my tooth. Could you check it, please? "
0, Alright. Please lay down. Please open your mouth.
-1, Ouch!! ( the patient signals the dentist that it is painful ) 
-1," Oh, your gum is swollen. How long have you had this pain? "
0, Since yesterday.
0, Did you eat sugary foods?
0, Yes I did. But just little. And I brushed my teeth afterwards.
-1, You have a cavity. Brushing teeth will not help much. Because the germ can come into the cavity and can travel into your other organs. 
0, Should I have a filling?
-1," I think so. But I can't do it now. I'm going to prescribe you. Please take these medicines three times daily with the meal, and come back again after the medicine is finished. "
0, Alright.
0, Can you help me pick out a gift for my niece?
1, Most normal little girls go wild over Barbie dolls.
1, That sounds good. Let me see one.
0, Here's the latest model -- Digital Barbie.
1, She's nice. How much is she?
0," Why, she's only $29.95."
1, That's reasonable. I'll take it.
1, Excellent. Would you like anything else?
0," No, thank you."
0, The total will be $32.42. Will that be cash?
1, Cash will be fine.
1, Here's your change. Thank you for shopping with us.
0, Did you feed the puppies today?
0," Yes, I have."
1, That's good! Just make sure to bathe them later.
1, No problem. I can do that for you.
1, Thank you! You know they have to go to the vet on Saturday?
0, I know. What time do they go?
0, Their appointment is at eleven o'clock in the morning.
1," Okay, I won't forget."
0, Have you given the puppies food yet?
1, Of course. I fed them today.
1, Good job! Please give them a bath later on today.
1," Sure, I'll give them a bath."
1, Thanks. But don't forget that they have a vet appointment this Saturday.
0, I remember. What time do they need to be there?
0, They need to be there at eleven in the morning.
1, All right. I'll make sure and remember.
0, Have you given the puppies anything to eat today?
0, I fed them earlier today.
1, Great! Could you please bathe them later?
1," Okay, I'll do that later."
1, Thank you!
1, My pleasure.
0, What's for dinner tonight?
0, It's whatever you're planning on cooking.
0, You're not going to cook?
0," No, I always cook."
1," Yes, and I love your cooking."
-1," Don't give me that. If you're hungry, then cook dinner. "
0, You're being serious?
-1," Look, I'm really tired tonight. I don't feel like cooking dinner. "
0, I'll make dinner tonight.
1, Thank you. I'm going to bed.
0, Do you want me to wake you up when dinner is ready?
0," Yes, please."
0, What are we going to eat for dinner?
0, Whatever meal that you plan on making.
0, I thought you were making dinner tonight.
0, I do all the cooking.
1, Your food tastes so much better than mine.
-1," Save it. If you want something to eat, then make it yourself. "
0, You really want me to cook tonight?
-1, I had a long day today. I really am not in the mood to make anything. 
1, No problem.
1, Thanks. I'm going to go take a nap.
0, Would you like me to come get you when the food is done?
1, Thank you.
0," So, what's on the menu for dinner tonight?"
0, You tell me.
0, You're not going to make anything to eat?
-1, You never cook. I always do. 
1, I think you're a better cook than I am.
-1," Oh please, you need to cook tonight. "
0, So you're telling me that you want me to make dinner?
-1, It was a hard day. Can you just do this for me tonight? 
1," I'll cook dinner, don't worry."
0, I'm going to go rest for a little bit.
0," I'll come wake you when it's ready, okay?"
1, Thanks.
0, Have you washed any clothes yet?
0," No, I've only washed my whites."
0," When you wash your dark clothes, can you put some of mine in?"
0, Sure. Is there any extra care that I should take with your clothes?
0, Just make sure you keep it on the gentle cycle.
0, How many clothes of yours do you want me to wash?
0," There isn't a lot, why, do you have a large load to wash?"
0, It's really only a small load.
0, Have you finished washing clothes?
0, I've finished my white clothes. I need to wash the rest.
0," When you do your darks, can you wash some of mine too?"
0, I can do that. Is there a special way you want them washed?
0, They need to be washed on the gentle cycle.
0, Do you have a lot of clothes that need to be washed?
0, Is your load big?
-1, My load isn't that big. 
0," If it's a problem, you don't have to do it for me."
1, I can do this for you. Don't worry.
1, I greatly appreciate this.
1, Don't mention it.
0, Could you wash some of my dark clothes with yours?
0, Is there any special care I should take with your clothes?
0, The only thing is that they have to be washed on the gentle cycle.
1, No big deal. I'll do it for you.
1, Thanks a lot.
1, You're welcome.
0, It's time for bed.
0, I'm not ready to go to sleep. I'm not tired.
0," It's quite late, and you have an early day tomorrow."
-1, I'm not going to be able to fall asleep. 
0, Why don't you try counting sheep?
-1, I've tried that before. It really doesn't work. 
-1," That's beside the point, you still need to go to bed. "
-1, Why can't I just stay up until I fall asleep? 
-1," If I let you do that, then you're just going to be up all night. "
0, I promise I'll go to sleep soon.
0," No, you're going to sleep now, so good night."
0, See you in the morning.
1, I'm looking for a gift for my niece.
1," Well, little girls seem to love Barbie dolls."
1, That's perfect. I want to see one.
0, Here you are. she's called Digital Barbie.
1, I like Digital Barbie! How much does she cost?
0, This Barbie is only $29.95.
1, That's perfect. Let me have her.
1, Very good. Is there anything else you would like?
1," No, that'll do it for now."
0," Including tax, your total will be $32.42. Cash or charge?"
0," Let me give you cash, please."
1, Here's your change and receipt. Thank you.
0, Shouldn't you already be in bed?
-1, I can't sleep. I'm really not all that tired. 
0," You need to get some rest, as you have to get up early in the morning."
-1, It's impossible for me to get to sleep right now. 
0," Just close your eyes, and try not to think."
-1, That really does not work for me. 
0," It doesn't matter, you need to get some sleep."
0," How about I tire myself out, and then fall asleep when I'm tired?"
0, Then you're not going to go to sleep.
0," Don't worry, I'll make sure and get to sleep in a little while."
-1," Listen, I want you in bed, right now! "
-1, Fine. 
0, Isn't it past your bedtime already?
0, I am not sleepy.
0," It's getting late, and you have to wake up early tomorrow."
-1, There is no way that I can fall asleep right now. 
0, Try listening to some soft music.
-1, It won't work. I'm nowhere close to being tired. 
-1," I really don't care, just go to sleep. "
0," What if I stay up and do something, until I get tired?"
0, You'll be up all night if I let you do that.
0, I'm going to get to sleep eventually.
0," You need to go to sleep now, so go to sleep."
0, Good night.
0," Wake up, it's time for school."
-1, I'm so tired. Let me sleep for five more minutes. 
0, You have to get up and get ready for school.
-1," I know, but just five more minutes. "
-1," I can't let you go back to sleep, because you won't wake back up. "
0," I promise I'll wake up, in five minutes."
0," You still need to eat breakfast, take a shower, and get dressed."
0," I realize that, and I can do all that when I wake up in five minutes."
-1, I don't want you to be late for school today. 
-1, Fine. 
0," Get up, it's time for you to get ready."
0, Let me just get five more minutes of sleep.
0," I would, but you need to start getting ready for school."
0," I understand, but all I want is five more minutes of sleep."
0," If I let you go back to sleep, I know that you won't get up in five minutes."
0, Trust me. I'm going to wake up.
0, You have a lot to get done this morning.
0," I already know, and I'll take care of all that when I wake up."
0, I want you to be on time for school today.
1, I'll make it to school on time. Don't worry.
0, I'll let you sleep for a little while longer.
1, I really appreciate that.
0, Hi NAME. Did you buy some new shoes?
0," Hi NAME. Yeah, I'm taking dancing classes and I need new dancing shoes."
0, Where are the classes?
0, At the local community center.
0, How do you like it?
1, I'm really enjoying it.
0, What kind of dance are you learning?
0," We're learning a few different types of dance. So far, we have learned ballet, modern, and tap."
0, Which one is your favorite?
1, I like tap dance. Ballet was pretty hard.
1, Sounds like a lot of fun.
0, It is. Do you want to join? Our class is not full.
-1, I'm too old to take dance lessons. 
1," No, you are not. You should come to one of our classes. The first visit is free."
0, Really? Free? When are your lessons?
0, Every Monday evening at 7 pm.
1, OK. I'll go next Monday.
0, That's why I'm taking lessons.
-1, Our company is in trouble. 
0, It's all over the news.
-1, I can't believe our computers were hacked. 
-1, All of our customers' personal information was stolen. 
-1, I heard the Customer Service department is being flooded with calls. 
-1, Our information was stolen too. 
0, I've got a date for you.
0," Oh, really?"
0, Are you interested?
0, Maybe. What is she like?
1, She's got a great personality.
-1, Uh-oh. That means that she's fat and ugly. 
1, She's cute.
